Date,Value,Ratio,HALF_YEAR
1997/10/20,955.609985,153.8031891,119.6290592
1997/10/21,972.280029,156.4861936,119.6290592
1997/10/22,968.48999,155.8761957,119.6290592
1997/10/23,950.690002,153.0113293,119.6290592
1997/10/24,941.640015,151.5547551,119.6290592
1997/10/27,876.98999,141.149485,119.6290592
1997/10/28,921.849976,148.3695947,119.6290592
1997/10/29,919.159973,147.936645,119.6290592
1997/10/30,903.679993,145.4451785,119.6290592
1997/10/31,914.619995,147.2059462,119.6290592
1997/11/3,938.98999,151.1282398,122.8165683
1997/11/4,940.76001,151.4131204,123.0480806
1997/11/5,942.76001,151.7350157,123.3096736
1997/11/6,938.030029,150.9737363,122.6910088
1997/11/7,927.51001,149.2805639,121.3150275
1997/11/10,921.130005,148.253717,120.4805454
1997/11/11,923.780029,148.6802322,120.8271592
1997/11/12,905.960022,145.8121438,118.4963653
1997/11/13,916.659973,147.5342758,119.8958811
1997/11/14,928.349976,149.4157544,121.4248921
1997/11/17,946.200012,152.2886759,123.7596137
1997/11/18,938.22998,151.005918,122.7171617
1997/11/19,944.590027,152.0295526,123.5490333
1997/11/20,958.97998,154.3455819,125.4311883
1997/11/21,963.090027,155.0070843,125.9687679
1997/11/24,946.669983,152.3643167,123.8210842
1997/11/25,950.820007,153.0322533,124.3638927
1997/11/26,951.640015,153.1642317,124.4711468
1997/11/28,955.400024,153.7693963,124.9629427
1997/12/1,974.77002,156.8869518,127.4964696
1997/12/2,971.679993,156.3896192,127.092305
1997/12/3,976.77002,157.2088471,127.7580625
1997/12/4,973.099976,156.6181621,127.2780338
1997/12/5,983.789978,158.3386929,128.6762482
1997/12/8,982.369995,158.11015,128.4905195
1997/12/9,975.780029,157.0495104,127.6285752
1997/12/10,969.789978,156.0854257,126.8450977
1997/12/11,954.940002,153.6953569,124.9027734
1997/12/12,953.390015,153.4458901,124.7000406
1997/12/15,963.390015,155.0553667,126.0080052
1997/12/16,968.039978,155.8037673,126.6162039
1997/12/17,965.539978,155.4013982,126.2892128
1997/12/18,955.299988,153.7532958,124.9498583
1997/12/19,946.780029,152.3820283,123.8354778
1997/12/22,953.700012,153.4957834,124.7405871
1997/12/23,939.130005,151.1507749,122.8348818
1997/12/24,932.700012,150.1158826,121.9938614
1997/12/26,936.460022,150.7210474,122.4856574
1997/12/29,953.349976,153.4394459,124.6948036
1997/12/30,970.840027,156.2544286,126.9824404
1997/12/31,970.429993,156.1884346,126.9288094
1998/1/2,975.039978,156.9304009,127.5317792
1998/1/5,977.070007,157.2571293,127.7972998
1998/1/6,966.580017,155.56879,126.4252462
1998/1/7,964,155.1535423,126.0877891
1998/1/8,956.049988,153.8740065,125.0479557
1998/1/9,927.690002,149.3095332,121.3385698
1998/1/12,939.210022,151.1636534,122.8453477
1998/1/13,952.119995,153.2414833,124.5339265
1998/1/14,957.940002,154.1781998,125.2951628
1998/1/15,950.72998,153.0177637,124.3521174
1998/1/16,961.51001,154.7527843,125.7621072
1998/1/20,978.599976,157.5033743,127.9974143
1998/1/21,970.809998,156.2495955,126.9785127
1998/1/22,963.039978,154.999029,125.9622216
1998/1/23,957.590027,154.1218722,125.2493873
1998/1/26,956.950012,154.0188633,125.1656756
1998/1/27,969.02002,155.9615028,126.74439
1998/1/28,977.460022,157.3199013,127.8483124
1998/1/29,985.48999,158.6123059,128.8986038
1998/1/30,980.280029,157.7737749,128.2171593
1998/2/2,1001.27002,161.1520648,130.9625759
1998/2/3,1006,161.913344,131.5812405
1998/2/4,1006.900024,162.0582007,131.6989605
1998/2/5,1003.539978,161.5174092,131.2594783
1998/2/6,1012.460022,162.9530694,132.4261885
1998/2/9,1010.73999,162.6762342,132.2012144
1998/2/10,1019.01001,164.0072746,133.2829038
1998/2/11,1020.01001,164.1682223,133.4137002
1998/2/12,1024.140015,164.8329369,133.9538903
1998/2/13,1020.090027,164.1811008,133.4241662
1998/2/17,1022.76001,164.6108283,133.7733905
1998/2/18,1032.079956,166.1108518,134.9924065
1998/2/19,1028.280029,165.4992624,134.4953895
1998/2/20,1034.209961,166.4536711,135.2710036
1998/2/23,1038.140015,167.0862041,135.7850407
1998/2/24,1030.560059,165.8662279,134.7936093
1998/2/25,1042.900024,167.8523164,136.4076331
1998/2/26,1048.670044,168.7809876,137.1623313
1998/2/27,1049.339966,168.88881,137.2499547
1998/3/2,1047.699951,168.6248534,137.0354465
1998/3/3,1052.02002,169.3201584,137.6004963
1998/3/4,1047.329956,168.5653036,136.9870525
1998/3/5,1035.050049,166.5888813,135.3808841
1998/3/6,1055.689941,169.9108236,138.080509
1998/3/9,1052.310059,169.3668395,137.6384324
1998/3/10,1064.25,171.288545,139.2001344
1998/3/11,1068.469971,171.9677395,139.7520917
1998/3/12,1069.920044,172.2011253,139.9417561
1998/3/13,1068.609985,171.9902744,139.770405
1998/3/16,1079.27002,173.7059821,141.1646999
1998/3/17,1080.449951,173.8958892,141.3190307
1998/3/18,1085.52002,174.7119049,141.9821778
1998/3/19,1089.73999,175.3910992,142.5341349
1998/3/20,1099.160034,176.9072332,143.7662433
1998/3/23,1095.550049,176.3262146,143.2940701
1998/3/24,1105.650024,177.9517819,144.615111
1998/3/25,1101.930054,177.3530615,144.1285521
1998/3/26,1100.800049,177.1711898,143.9807515
1998/3/27,1095.439941,176.308493,143.2796683
1998/3/30,1093.599976,176.0123549,143.0390074
1998/3/31,1101.75,177.3240822,144.1050017
1998/4/1,1108.150024,178.3541511,144.9421022
1998/4/2,1120.01001,180.2629881,146.4933464
1998/4/3,1122.699951,180.6959278,146.8451812
1998/4/6,1121.380005,180.4834855,146.6725369
1998/4/7,1109.550049,178.5794818,145.1252205
1998/4/8,1101.650024,177.3079913,144.0919252
1998/4/9,1110.670044,178.7597424,145.2717119
1998/4/13,1109.689941,178.6019971,145.1435179
1998/4/14,1115.75,179.5773494,145.9361522
1998/4/15,1119.319946,180.1519239,146.4030885
1998/4/16,1108.170044,178.3573733,144.9447207
1998/4/17,1122.719971,180.6991499,146.8477997
1998/4/20,1123.650024,180.8488398,146.9694474
1998/4/21,1126.670044,181.3349049,147.3644553
1998/4/22,1130.540039,181.9577716,147.8706369
