Date, Open, High, Low, Close
02/18/04, 1060.44, 1064.49, 1052.98, 1052.98
02/17/04, 1045.54, 1056.36, 1043.48, 1054.61
02/16/04, 1044.11, 1047.45, 1041.44, 1045.02
02/13/04, 1032.80, 1043.36, 1030.63, 1041.03
02/12/04, 1032.70, 1039.58, 1030.00, 1030.91
02/10/04, 1026.37, 1029.92, 1018.42, 1025.25
02/09/04, 1035.83, 1039.72, 1023.25, 1024.77
02/06/04, 1028.80, 1031.04, 1024.70, 1028.83
02/05/04, 1024.13, 1026.58, 1020.01, 1025.48
02/04/04, 1042.53, 1043.50, 1022.17, 1022.61
02/03/04, 1051.96, 1053.87, 1032.59, 1043.28
02/02/04, 1048.70, 1056.29, 1048.53, 1049.46
01/30/04, 1049.56, 1053.93, 1043.58, 1047.51
01/29/04, 1050.86, 1051.93, 1043.40, 1050.13
01/28/04, 1057.65, 1061.42, 1054.53, 1058.15
01/27/04, 1075.05, 1077.41, 1063.36, 1063.36
01/26/04, 1073.28, 1073.83, 1061.24, 1068.85
01/23/04, 1074.30, 1083.18, 1069.66, 1076.93
01/22/04, 1076.81, 1080.14, 1071.32, 1074.45
01/21/04, 1073.50, 1081.64, 1070.35, 1070.35
01/20/04, 1074.81, 1084.56, 1070.06, 1075.94
01/19/04, 1065.28, 1072.61, 1063.53, 1072.17
01/16/04, 1048.80, 1058.97, 1048.80, 1058.97
01/15/04, 1059.60, 1060.99, 1044.57, 1044.57
01/14/04, 1054.85, 1060.83, 1050.81, 1057.95
01/13/04, 1066.28, 1066.28, 1054.32, 1058.40
01/09/04, 1064.55, 1067.96, 1057.67, 1065.78
01/08/04, 1053.25, 1062.89, 1051.24, 1056.92
01/07/04, 1056.48, 1057.71, 1047.46, 1051.59
01/06/04, 1066.68, 1069.39, 1054.10, 1055.50
01/05/04, 1055.08, 1060.89, 1055.08, 1058.99
12/30/03, 1036.13, 1043.69, 1035.97, 1043.69
12/29/03, 1021.12, 1030.21, 1021.12, 1026.24
12/26/03, 1013.82, 1018.47, 1011.06, 1018.47
12/25/03, 1010.34, 1012.93, 1008.14, 1012.93
12/24/03, 1016.45, 1016.49, 1008.21, 1011.96
12/22/03, 1008.43, 1017.14, 1008.43, 1015.26
12/19/03, 1004.80, 1010.46, 1004.80, 1008.61
12/18/03, 990.88, 999.20, 989.63, 995.57
12/17/03, 1005.61, 1006.23, 989.29, 989.95
12/16/03, 1011.39, 1011.39, 1001.51, 1004.82
12/15/03, 1011.06, 1023.81, 1010.81, 1022.95
12/12/03, 997.86, 1004.25, 993.05, 998.70
12/11/03, 985.83, 991.88, 980.87, 990.93
12/10/03, 992.78, 992.78, 976.28, 980.58
12/09/03, 998.65, 1001.64, 989.04, 997.39
12/08/03, 1011.86, 1012.33, 991.53, 995.28
12/05/03, 1023.16, 1026.19, 1016.86, 1019.42
12/04/03, 1017.16, 1024.65, 1017.16, 1023.43
12/03/03, 1022.21, 1025.74, 1014.15, 1016.07
12/02/03, 1026.18, 1032.80, 1020.17, 1023.50
12/01/03, 990.80, 1023.41, 981.25, 1020.52
11/28/03, 1004.15, 1005.64, 995.50, 999.75
11/27/03, 1003.89, 1007.80, 999.46, 1006.11
11/26/03, 989.09, 1003.95, 989.09, 1002.02
11/25/03, 987.03, 998.05, 987.03, 988.11
11/21/03, 968.97, 980.09, 966.95, 974.45
11/20/03, 963.26, 974.83, 956.66, 971.69
11/19/03, 965.08, 965.08, 953.19, 953.19
11/18/03, 968.35, 976.01, 956.08, 973.44
11/17/03, 998.45, 998.45, 968.97, 971.89
11/14/03, 1019.79, 1023.76, 1006.01, 1006.77
11/13/03, 1017.18, 1024.00, 1013.67, 1018.50
11/12/03, 1010.88, 1018.22, 1001.17, 1006.16
11/11/03, 1023.45, 1023.45, 994.07, 1007.31
11/10/03, 1042.24, 1043.89, 1032.31, 1033.37
11/07/03, 1040.03, 1045.71, 1033.26, 1045.15
11/06/03, 1061.90, 1061.90, 1035.57, 1035.57
11/05/03, 1066.37, 1066.37, 1050.05, 1063.31
11/04/03, 1055.32, 1071.53, 1055.32, 1070.01
10/31/03, 1055.72, 1058.80, 1040.44, 1043.36
10/30/03, 1054.99, 1060.03, 1048.54, 1053.85
10/29/03, 1054.12, 1064.81, 1047.88, 1057.14
10/28/03, 1038.88, 1049.77, 1038.80, 1045.18
