Date,Close,TOPIX,HALF_YEAR
2013/10/7,1147.58,70.35792675,272.72502921482067
2013/10/8,1150.13,70.5142668,272.72502921482067
2013/10/9,1166.9,71.54243253,272.72502921482067
2013/10/10,1177.95,72.21990607,272.72502921482067
2013/10/11,1197.17,73.39828087,272.72502921482067
2013/10/15,1197.47,73.41667382,272.72502921482067
2013/10/16,1196.78,73.37437004,272.72502921482067
2013/10/17,1206.25,73.95497407,272.72502921482067
2013/10/18,1205.52,73.9102179,272.72502921482067
2013/10/21,1212.36,74.32957708,272.72502921482067
2013/10/22,1214.44,74.45710152,272.72502921482067
2013/10/23,1195.98,73.32532218,272.72502921482067
2013/10/24,1203.35,73.77717558,272.72502921482067
2013/10/25,1178.28,72.24013831,272.72502921482067
2013/10/28,1198.36,73.47123956,272.72502921482067
2013/10/29,1193.5,73.17327382,272.72502921482067
2013/10/30,1204.5,73.84768188,272.72502921482067
2013/10/31,1194.26,73.21986929,272.72502921482067
2013/11/1,1183.03,72.53135997,270.16051050927683
2013/11/5,1182.58,72.50377055,270.05774707295166
2013/11/6,1192.16,73.09111866,272.2454664995541
2013/11/7,1184.73,72.63558667,270.54872794367134
2013/11/8,1176.42,72.12610204,268.65102979221854
2013/11/11,1185.65,72.69199171,270.7588220934019
2013/11/12,1205.41,73.90347381,275.27127881204365
2013/11/13,1204.19,73.82867583,274.9926757295946
2013/11/14,1218.55,74.70908489,278.2719712123344
2013/11/15,1239.04,75.96532316,282.95113306018703
2013/11/18,1241.67,76.126568,283.5517282828522
2013/11/19,1236.86,75.83166775,282.4533013110945
2013/11/20,1233.43,75.62137506,281.6700155639326
2013/11/21,1246.31,76.41104558,284.6113335111704
2013/11/22,1248.57,76.54960578,285.1274343313363
2013/11/25,1259.61,77.22646622,287.6485639791131
2013/11/26,1253.02,76.82243449,286.1436505391349
2013/11/27,1247.08,76.45825414,284.7871731572942
2013/11/28,1261.04,77.31413927,287.9751233591619
2013/11/29,1258.66,77.16822189,287.4316189510096
2013/12/2,1258.94,77.18538864,287.4955606438954
2013/12/3,1262.54,77.40610401,288.3176681717441
2013/12/4,1240.99,76.08487732,283.39644130909437
2013/12/5,1229.65,75.38962393,280.8068026913517
2013/12/6,1235.83,75.76851863,282.2180872119177
2013/12/9,1255.32,76.96344708,286.66888587621384
2013/12/10,1256.33,77.02537,286.89953269831045
2013/12/11,1250.45,76.66486825,285.5567571477104
2013/12/12,1242.23,76.1609015,283.67961166862364
2013/12/13,1238.88,75.95551359,282.9145949552877
2013/12/16,1222.95,74.97884811,279.27676926467996
2013/12/17,1232.31,75.55270805,281.4142487551424
2013/12/18,1250.49,76.66732064,285.56589166462345
2013/12/19,1263.07,77.43859821,288.4387006418953
2013/12/20,1261.64,77.35092517,288.1121412990938
2013/12/24,1257.55,77.10016799,287.1781358180069
2013/12/25,1258.18,77.13879318,287.3220046363116
2013/12/26,1279.34,78.43610903,292.15416981938193
2013/12/27,1290.07,79.09396343,294.6045068959001
2013/12/30,1302.29,79.84316947,297.3951051464603
2014/1/6,1292.15,79.22148787,295.0795023713339
2014/1/7,1283.25,78.67583044,293.0470699184893
2014/1/8,1306.23,80.08473018,298.2948561611879
2014/1/9,1296.75,79.50351305,296.1299730454917
2014/1/10,1298.48,79.60957905,296.5250413955065
2014/1/14,1269.08,77.80707025,289.8111634562692
2014/1/15,1294.52,79.36679215,295.6207231409461
2014/1/16,1294.39,79.35882187,295.59103591441965
2014/1/17,1297.39,79.54275134,296.2761255023365
2014/1/20,1293.86,79.32632766,295.4700034070211
2014/1/21,1295.95,79.45446519,295.9472824837476
2014/1/22,1299.63,79.68008534,296.78765904542234
2014/1/23,1287.52,78.93762339,294.0221807815558
2014/1/24,1264.6,77.53240224,288.78809633285033
2014/1/27,1229.23,75.3638738,280.71089013339946
2014/1/28,1224.31,75.06222947,279.58734321219555
2014/1/29,1256.18,77.01617353,286.8652782319512
2014/1/30,1224.09,75.04874131,279.53710331330296
2014/1/31,1220.64,74.83722242,278.7492502890609
2014/2/3,1196.32,73.34616752,273.1954573759269
2014/2/4,1139.27,69.84844212,260.16733712454726
2014/2/5,1162.64,71.28125268,265.50418497233045
2014/2/6,1162.37,71.26469903,265.4425269179849
2014/2/7,1189.14,72.90596299,271.5558096345571
2014/2/10,1204.28,73.83419371,275.01322840196076
2014/2/12,1219.6,74.7734602,278.51175255134405
2014/2/13,1199.74,73.55584712,273.9764595217961
2014/2/14,1183.82,72.57979473,270.340917432481
2014/2/17,1192.05,73.08437458,272.2203465501079
2014/2/18,1224,75.04322343,279.51655064093694
2014/2/19,1218.52,74.70724559,278.26512029671414
2014/2/20,1194.56,73.23826223,272.7935381475392
2014/2/21,1222.31,74.93960982,279.1306168078351
2014/2/24,1219.07,74.740966,278.39072008119285
2014/2/25,1233.66,75.63547632,281.7225391013652
